a	b	dot
bec96eca,3faab258,be0ad2a5,408e5481,c0057e12,c03d94c2,3ed5c463,40a5e84f,bee41ac2,3fae52b0,408942a9,3fd789a9,c0233add,bec7b93b,3e30d7f7,40005c77,c04aa98f,bec17114,3ead2664,409378c4,409ac0b6,3f922ce2,c001e60b,bf686216,bf9f2818,3ca4007c,bfc9be6b,3efb9dc1,c04d1092,c05c7b15,3f2f24b1,bfb173c0,c0076cc5,bfa9a037,beb4f71a,3eb8349e,bff05671,bf6d1dd1,be9a7770,3fb91f2d,3fa11da0,bf410e4a,c08c1d73,3e27b0f0,bfe4cf85,3ff838ba,3f102356,c0936037,be83c188,3ff74c93,c023a776,3db61828,3fc99e63,402949a1,beeffb35,c044f46d,40710b80,3ecdc245,3d3a7c4d,bf17c73e,3e819f3f,3f9b1f4e,bf2a41f3,bff580ff	bff6ee94,400212db,bfd304a6,3f0f44be,bfb32c06,3df32b3f,3f58a261,bfd3f4c1,bfc87288,bf013630,c04eff83,bfe7a9d5,3f2065b5,400c0bb1,3ff71d34,c0389adc,3fc8c020,3f3727be,3fdd0d08,3ef75867,bf9893be,3fd18613,bf8f061d,bf8c97f4,3fd5e485,40008716,c087967d,3f392962,c0253beb,bf13678c,bfa9f8ad,3f46ba32,c01cf667,3f7ca388,3ff977a1,bff0b4e7,beba5df7,3faa8333,c0118a03,3fee7c60,bfc75eee,bf41e2c6,bfea2252,c00b1f6b,3fe35552,bf37671c,c02393e0,3f9ac65b,bf9311b9,bfaf654a,c02e830c,bdf61c30,3fd98349,3ee7c1ef,3f9e1189,c06be61d,bf2bdb61,bf306585,c0815819,40322642,3e3b1a34,40b7c3e2,3ff0f5a2,c095f956	4174e090
bf9f85e4,bd598cec,3e93c11c,3edb89c1,3f1a4d05,404b9d84,bdd0272f,3fc366d5,bfc69190,c00b6576,3f511287,3f1381d0,bede4c8c,40409202,bf81b531,bf19ef0b,be094488,4039dcf6,c00954a9,c069b9f0,3f8a5fc3,3f4ec58a,40172590,bea6eb08,3e8557c8,be6bfee6,bfc1ac7b,3f5e9aa3,3f26255c,4038663e,bf0a8818,3e913ea0,c03a6955,400ffd40,3ff88caf,403852b7,3f83d23b,be9c9ce9,3fa2d9ce,3f075d88,bf28320b,bda3df88,bfeb369a,402ce977,bf692873,40797774,3fdbfd37,3f5fc2ca,bf67a8f4,bece76ee,3e0aecf3,bf648225,bffb169e,3fb0beb4,be7a9729,bf352144,3d06f7ce,bfc03a31,c0218d57,4007feb2,3e15987e,400b1e69,be1a1dfa,bedc61ef	4008864b,3f9f7f3e,3f385c73,3f373524,bf51284e,3f6659bd,3eacd027,3f9ccf96,be988fca,401bddce,bf677b05,beacc368,3fe15a76,bce68258,400deffb,3e5a875d,3f8719e9,404e104c,c01b454b,c02994bc,be1903b5,407c07c7,bf825f58,3e81f59b,3fc70ddb,bf0274b5,3e6b1b04,3e44f4e0,3cdc1f6f,c002c3be,bf51f33b,bf931040,becb743d,3fc5eabb,401f9e23,c0292e57,c043e0ec,3fe960e9,bf9210d0,4008ac07,4017f9ca,40908821,3ff8966d,c0225ec2,c024bce8,406906f8,c044e52e,bf71a487,bf1246bd,c0943af2,3f1fdfc6,be74de1b,3e8efeb7,403b7bec,bfaebbd3,3db79957,bf639aee,3e8e85bc,bfb411d4,bea02b05,bfc77503,3e135a69,3f624c96,3f032b01	4185f3d2
40429436,becd1284,40903d5e,3fe7cf83,c02e61a2,3f7525c8,bf5d2564,c00cbace,4059ebf9,c0488c1f,bff73456,bf69f086,4004014e,3fe16e0a,3f0a65c7,3faa0206,400a4bf9,4069fe96,bf68aed2,c0133849,bd8bf10c,3e6bab30,c0508f23,3f31e3ac,3e437c0a,bf14e3af,3dccc490,3f17e388,bfcb7ba3,bdd130b5,bf270ecd,c012aaa9,c0890d58,bf1b8976,c0016532,3f8bceb2,4009cd3c,3faf666a,bfaefdc0,bcc7a7c2,c08b1c41,3ec43063,3ef9cc36,c03985c9,3e59a190,3f975371,40150a73,3e8be455,401c3f69,3ff225f5,bf13d6ad,3f07d100,3e85fb36,3fc5b239,bfff4aed,3f4b4995,bdee22a2,3faf1b00,3dec46e5,c0060234,403a84fd,bf75b02d,c07cc0df,4087967e	bf0de381,c044671a,bdc76a51,be90adcd,bfce711d,3fb5c139,400d59cd,bf534ccf,3deec4db,bf85f216,c041ce49,3d82461e,400ae687,3fe0dbbf,4028e772,c007bf90,bf32bb52,3eb42045,3f8fda41,3cc3c571,bf869f4d,c0a0bd3e,3f79c5fb,4011cca1,c0096fae,3fc29d80,bf2ef403,401f103a,bf02517e,3f336022,c0a445ab,3dc3e078,3b9e81e1,3fe8f5c8,c03c9ad5,bf9ed540,c09abb00,bf7f5be7,c0be28e6,3f6f30fa,3e8e2515,3ea72593,3fd9a547,3f13cb50,3f1fa933,c060e292,c0c1c21b,c039c4f8,3ff1ade0,403f1672,c01a97e8,bf724b7d,3f059aa7,beff1f42,bfb438a5,c0907783,bf2b27db,bf553a43,40156ee7,bf096fc2,befb4c69,bf430ff3,c018613e,3fe8385a	41ca97cc
bf15d553,3fc641b0,3f880ce0,c03fe15f,bcea05ee,c022a9e9,c04bf7f6,bfcda1fa,3fbd1c0e,bd8e51df,c02c2e09,bfbe8ff5,3f6ad1fe,c062d3e9,c0002007,c0957bab,3e4ac202,3ffdab82,c00c763a,bda3463b,3f13cb34,c0020d1c,bf73212c,c02551ec,bfeff5bd,3f2e7cfb,401df389,3eae0083,3f17f3cd,bfc77ca7,c0697af0,403c8802,bf87a774,3ee0ba7b,bfb97672,bf60f58b,40175e1b,bf9c3887,3e0039dd,3f3f7b4b,3fa3a67f,c073316f,bf09b2d9,bf404450,3f872e9c,3fce6ddd,3f45ef78,bf6e10b6,3ea7a2dd,c02b7424,3f7559fb,bf9e9dfa,c00c0162,3f830406,c0384268,bfac0348,3fe8034c,be5f2c68,402d9a36,4045d4a9,be654539,4013e809,bf24af82,3e860774	be4718a7,bf36d615,bf81a9ad,bf8604e7,401b2f5e,404bfb8e,bf8ec914,3fddef3f,3f1a7c06,40132b23,bfbbddcd,bfd4357e,3fb6b093,bf1d7c8e,c0641dd3,bf31817e,400a0701,bfcead86,bfcb79cb,be74c4cf,405ad677,40376b2c,be8b0db0,3f792110,406e5fac,bd9d7d7a,bfcf58ed,3f5c0655,3f7344e1,3efbbb6f,bff79dc9,3fb51ddc,402d1311,40894ee5,3e6095b8,3e9ef7ff,403a5da1,bd8c9c6f,bfabab5f,3f8bf3b9,bdc8fe2c,3f81d59f,bf33d737,4089f57f,3ecbeb68,be92ba69,4015554a,3e2e3ccd,3e437340,c08cfd3c,bfd65dd7,c024e9e7,3ecb412c,3e893d1a,3ed60b73,bfb72aab,3f3bdaf7,403761d1,c00841dc,bfbd87e7,3e27f3ca,3f63bf4d,bfc30578,bef91157	4189b0cd
3ff33087,bee5fc2e,bf974890,c0b5f081,3f9ca79f,bf9a0d48,bf485ac6,bf4af316,3cd0fb1b,bf6bb52e,3fb21360,401e4965,bf6cbc00,bfa94d9f,c021a4c2,3fc149a9,40289db8,402b4d66,3f8975f5,4080f433,3fef9f75,407d045b,3ff4586c,3f007886,3ee2bcb6,3e925a35,3f26a405,bf90150e,3e54b1ea,bfb40fb6,3f65542a,3e18d97c,bf659361,bf9419e4,c0656f86,bf647e67,40226927,c01d6b57,c00d3aa8,bfed107b,bf26fa2b,bfc0eaf8,bf94b2c5,beafbc9a,c0c22d0a,3e94a314,3b8709d2,3f6a2d74,3fb9155a,3ef0de73,bfc05dde,3fa56d8c,bfc98676,4097a531,40121cf4,bee31a6e,bf94abda,bfefb4d0,bfd1f095,40b65cb6,3fdb880b,c02acaf6,3f85ec57,bff49d3b	bf2fb2d4,bfb6de3e,bfd52464,bfa5d5d3,c0004fc0,c00d2b08,3ff80ad8,c05bea8c,bfc21473,3eb4145e,4067407a,bfe41071,4080a907,c0591222,408252e6,3fbca8eb,4093fa1e,bcb048db,3faff340,3ff0a79f,c052b36c,bea2cce4,c09dc3be,3dc71e86,3fd547a8,be5a117d,c01df258,409601ab,400f7514,c0347bf5,be819666,40196c09,3f77b671,3f3076ed,c00710f7,3ea56dfa,3fe1b907,bf97d86a,401e4031,bf09ac6f,bf90d977,4048970f,4057bee5,3fe7bdb4,3fe7a254,3f6cfc45,be8ba877,3f856f51,3e40deab,bfec9d63,4042264f,c03b85b2,4044fcd1,40247d17,c06004ae,c0780f87,c0860834,3fc56d4d,bee08637,4015f5e0,3f7ad4ec,3f5fe3a0,3fbd2989,c09fd6e0	416aa9bc
bf0559c4,bf475884,bfdfaffd,bed7db1c,3fd368d9,be957435,c026bb14,bfa605c1,3ffc2d2c,3fab6ba4,3fc53a4e,bf790067,3d96b6c1,c01a64ad,3fd4dc9a,c083d833,c0271721,c01759cd,40b775c4,3f674fcb,bfa2bdcc,bf9b0db9,bf2ea7d0,3fabb06d,3f1be825,3fa12a07,3f91af37,bfc4fadf,402d21b5,bfb6a440,40290572,3f3a2dc1,4084ae0c,bd979b43,3ef04648,401ecb57,40830b72,3ea7a9e8,3fd68e5f,bf99159a,bfe56485,c03a86d6,bebee8f2,40261531,4071bd58,3fc2841c,c01527cc,c02eba16,407ded1a,3fa80643,c00b6087,c093dc28,4012e026,3fe178c0,3f2c7b8a,bfefe80f,be7948aa,3fe2428e,c03ff37f,3f6b47ff,c0461442,bf88be43,400ac6bf,40463d60	bf5fee16,bfa28fd8,bf16eed6,3f4af1af,3ef08c92,3fbf5f66,c025e145,c004cf5b,be7d30b0,c0268104,c01caefe,c0004cbe,3f301f17,40560bd3,3f3fc8bf,c01ff33d,3fa29292,bfda72c4,bf8802df,c0160933,4018b9e5,3e5672a6,3dfeb525,bf9c3509,3f87d379,c07222e0,bf9eaa2b,3ebc29d7,3e2cf16d,3f9f0203,c037b8af,40027a30,bf8faca9,bf7b4505,3fad856e,404d3106,c075ef0d,be4d4dee,c01b2cd8,4005656a,c001bbe3,bf974176,bf00e79e,bfb7c336,3f9642fb,3f0e9d5f,bfef0691,bf9640b8,402cd858,c021de54,3ec4c37d,3f95eb2b,402aea9e,c03c1771,3fd13137,3f6c90ee,3fc88dc5,3e966602,bf338b23,3f6f40d4,3fcc3782,c08fc6b1,3f9bc281,3fe4adf9	c0b71e62
4016a75a,3cd3e5de,bfb74638,3ffa8c2d,403e796c,c01b993b,3fcb47a9,3ca9c3b0,3fb4a56d,be954403,bef02659,bf72ad37,3ed79ca6,c05f7b6a,bf402b0b,bec74495,bffb50ca,be8ebd5d,bfd83ad8,bf57803b,bc5b2381,4044aadc,3fcffc71,bfcb9cd7,3ef5623a,3fb3993c,40051186,c0434c2c,3ecc2e67,3feb6f80,bf68465c,4016191e,3f33de1b,c01413d1,bfedc4db,c007854c,bf4ad9f1,bf98e083,c031815c,bf1d2863,c0335690,c0869d78,be59299e,bf45eb36,bf470c1e,3fbc68ea,c0720061,bec916f1,3edd4f5e,40758a14,bf9e1a4f,be6f12dd,bfdf17f1,c06765b0,bf5dacdb,c07a40fc,3eca6ebb,3de2f69b,bead288a,400fe71b,3fcfdb81,3f925e05,40627501,40643fcd	bfa8d373,3f5aecd5,bd37193d,bf88360a,c0459df1,bfb2bf40,3fec8c61,3eb917c0,3f6b7176,40305e40,c022f2f6,3fff7283,bf39cc0b,bf52d56e,3e7a0955,bf288e1a,4033b379,c0172028,3cadbcd9,3f900491,c0068985,c06a7351,3de2a6ea,c057e16f,3ffe61aa,3fe17939,bf51fea3,3fd002b7,bfe66ffc,bf5ddb33,bffed131,405e6f6b,40349f11,bfdd9ff1,bed440ed,c028c432,3f05df14,be8b7b29,3e05867d,3f7a95ee,c038eead,3d970d89,3fa3bfed,c0261e75,3edbb2db,3fdc3513,c01d7bab,3f93782a,bfb30936,40092f58,bfdf800f,bf8c0ce0,bf3b3146,c0465658,bfb4eac5,bfdf283f,3f819264,bf9acba9,3f6651bb,3f14d9ff,c028a003,beb69303,3ff295a7,bee5fc62	424de463
bff5ee34,bfd93820,bf8465e3,be03555c,409e1f41,c05c8658,bf25ec6c,3f0c73f2,bfd37173,40077e6d,bf6a5a26,be8c3ade,bfaad1fd,c004d8d5,3f6aacf9,bf8a8cd0,40362d5c,c098eab4,402384d8,bfee4d5d,3e8a852f,3dbae1a2,3f61c870,bfcb215d,c07a7149,c00bf47a,3f55213c,bf09d88d,3fd1409a,c0358b27,400bc023,bff3c418,bf39e933,bfc4dbf9,bfab53d2,bf204fb8,beb97fa7,bf827424,bf67764b,40208da4,4074ce31,40145055,3e3957cc,3e4c1842,3fcf70a3,4005edb9,bccdbbb5,c01cc9f6,3e8eb60d,400abe11,3f488df8,3e8536e1,3f724090,3f1704c8,3e2186c1,404ef7c2,c0246560,401823c1,3f18ced7,3f8a3253,bec72cef,bf1633b5,bfeab957,3fca3324	c06e7cbe,c06272d5,40190434,bdc64189,bed8e6aa,3eb77ee4,bf5065f2,bfb50d43,c020465a,bde203c2,bfc03be6,bf077b0c,bf2c1bbe,4051f9be,be9d1996,bfde9d43,c067f91d,befef898,3f3c8856,3d4baa7a,402a9293,bf8c23f3,bdd91286,3f5e0f0a,3fb59e84,bf88e2a3,bf449a0a,3f83bda4,bfb469ef,400c5df3,bee65045,bf345bfc,beee11e5,bed7f09f,4062e027,40045e4b,3f403cb2,bfde3171,befc8fa8,3ff501c4,bfbf6e9f,3e5f6cde,c05485a3,4000c8ac,3fb7e781,3fb26a23,3fe0d1ab,bf8ffbfd,3ff884e7,3f1dbde7,bfef1ffb,bf883346,3f14d0b7,4002ec15,c065e98b,3f8f53b8,3fd202b3,3dcbfdb6,3f8d4bd4,3f6cb02b,bfe7353b,3fa137e6,4086afd1,3fd856dd	c118ea50
bf0dc9ba,401eee8f,3e86b728,bfa0bf92,c0431de8,3fe3a496,3ef26ea1,4003514c,c09f598c,c011ae51,bf9a8cbb,3e6e7dcc,bfa92999,406ae8bb,bf79c0ef,c0928c51,bfae0808,3fe6cd1e,3f4aeaef,3e4de364,3ec226ea,3fffe918,3f3679dc,bec68c06,3d547c8f,bfffd31d,400da048,bf7d5b83,c09da114,c050e65e,bed40606,3faff08d,3f18bc0a,401207ac,bf5466e4,c01f54bd,bfb2b88f,bf14cb86,bf0b2d4e,3fb23cdc,3fae39b2,3ff203e7,3fd3e938,3fc59702,3f942dbc,3f02b84f,bf5f7431,bf604ec9,3fba383e,4014172a,3f62709d,3fe2a7c7,40b1ca1c,40067614,c05d721c,401220d5,3f5a9758,4024a266,3f152038,3f5c355d,40016346,4040bd7c,bd599917,c00044d0	bf99b97c,400edaa1,3fcb9a4b,c01f755c,bf1c8da7,40166a91,3f51e321,3fb7666b,be814c3c,3f0257c1,4009c0c0,bf92bcf8,400856f4,c050bfc5,3f7394c4,3f94cf08,c0074f22,402e45d1,3f6908ec,bf63b145,3e61ae23,3fdd32a4,bf32f663,3f99ecd1,404a5ead,bff93074,4046ee65,bf81a14e,3e27db87,3f42ca3e,3fe697e0,4094e5e2,3f6cacc9,3ff3924a,404046f1,3f4f37db,3d8e6e34,bfc9af31,bf9b8ab8,c01c7d57,bf8241a9,bfa46c7d,40919c73,bddff4ac,bf99a425,3e92feab,bf1928a4,4072a8a4,3f1d7f63,bfaded07,c02c6a0e,bed4307a,bcfb8dcd,3fc753db,3f42e72f,c08dd91e,bf13365d,3f1baa4e,c0bdec3f,3d6ee286,bfb871e7,bfe0594f,c00930d6,c08b8904	3fe55748
3faba994,3f8e07c3,bf4a6a92,befcd33a,3f9e57c3,409eaf94,3fa17325,bfacc34c,c01c94c9,be299362,4053188e,bf117855,bf9e714f,407aabcc,c034c145,c0bd6c98,bdf6d47b,3fdfdc03,3ef1ebfc,3fb80da3,3fac87b5,3e0416e8,3e26c112,40140af9,3fda3c15,be23442f,c0567177,3ed09b87,bfceafbf,be32dc11,3f6bbd19,400caefe,be8de90e,bfe4f5bd,bf8dec07,39c8970d,3d4d1a87,3fbd465f,bf936bdc,bfe2522b,3dde0a5f,bff6f49a,3e95664d,c04432e4,3fa2f4da,400cb3d0,3fb02086,c06734e4,bf31a2f8,402d7c2a,4079c8a4,3f88a454,3f62fb85,3ea3f878,c025ab5e,3c456f3e,405e473e,bf8b11c4,bfb7ffad,3f800631,3eadd11e,407f405c,bfbfd104,bf8b669e	3ef55b4a,bf1bc31b,bf955f17,3fc0f17d,3f1499b4,3eb853e1,bd531610,be132202,3eb5c1ba,40934903,bb5a080d,403897c1,c0cd48e1,bffd1822,3f23ff36,3e014aa9,3fd1c6d1,402f8a3c,bf437afc,bf85a580,c0088303,c0831a3c,bf78c1fb,3fb6d60b,3f34834d,4042420e,be62aec5,bfc80ae0,3f79dd07,c00f50ad,3fef6c45,3f96a043,bfa24692,3f4d72d9,c062d226,40112379,3fac76fe,be4a0171,3f2ad0ca,3f8113c8,403e75c2,40865597,c011b500,3fe6ecd4,404d1527,40ad48c9,3eb8a932,3e72da22,c083f653,3fb8e6d1,bf59a170,bef0ce2f,bf347cdd,3fa9d5d3,408d9989,3f55a4cc,bf970573,4053bedf,bf5527dc,bfee73d7,3fdd4e38,3f133456,be932442,bfa6004f	c0e12209
c0068fca,40810b54,bdea361a,bf1967a3,3ec65c37,bfda1999,c00ad3d2,40047d49,bf9a49cb,bf9c9002,3f8b1234,bedc33af,c0bc65d2,3f22a053,be8e8e87,be964696,3eba14a8,c0167d88,bf7bc2bf,3f04d016,c00a80b6,bda18d99,bf041737,c02d395a,c0013ac6,3e03fb58,3d8a7898,3fbca246,bf793dd0,3efcb0cb,c00d4877,3f7c7c10,c040f910,3e490fa8,c003729d,bf847b03,3f4d8c1c,c00ab456,3f806678,3fe9720a,3fa14fd5,405fe8ad,bf8a8458,c04c021e,402a7435,bfe2e1a8,4043711b,40a2194d,bfadd595,3f923ebd,c061ba01,3f1ebb36,40049b99,3fd16de0,be88a4f4,c0627f6b,406937e3,3fbdcd0b,3efd2898,bea568bd,bf4b7c4f,c03ae591,c0111c4a,bf0802e4	400abc76,402d6292,3db84d0e,bfc55d31,bf0365cb,403173f4,3fccb5fb,c007537b,bf07fc9f,c01f6917,4003fe18,bf852bf7,bf5b9be0,bed0512e,3f820281,400fe121,bf03fa89,bf1eee34,bf19f645,3eac8c1b,40214d29,3e861697,bf120458,bea4d693,40735c6c,3e1e4ded,3ecb66fd,40b01e81,4024df09,3faba0ee,bfe024ec,bf1d5b79,4015a54d,3f2bb949,408507f4,c020bfa5,bf660a10,bb85c384,3f9e239b,c0145306,bfdc6337,bf90abec,c0a1745f,bf3345a5,bfb2ab19,c0b351f4,4086be60,c0430922,be241eaf,bfecb004,bf1422da,3f225c2a,4037edd5,bed665ec,3fae0af7,3ee7db40,3f539c99,c02387c2,3f205978,40984d11,bf92e208,3f5053e5,40984098,3fab4667	c190f3cb
3f6e82c5,bfa9a883,bf5341dc,bff8d43d,3ffea9bf,3f4dba53,bffc61d5,c02d0509,3edd2fd8,4002e006,bfda2dbd,403f8e32,402c9298,3f130e89,3fca37e7,3fe74e9f,bf0f8b9b,bf802032,4076de46,402b4e36,3f9a7ff0,bfc3bcfe,be7aba6a,c00beecb,401b632e,3f82ea86,3ee713b3,3fd629da,bf17e3ed,beb5a409,bfc198d7,bf76ed7a,bf2f9e8a,3e5096c3,3febb8e2,bf0d6356,40940ba5,c00e2cc6,3f77ab59,3f9c9ce8,400d22ff,3f196042,bfd23874,bfc0c2fc,400f0684,3f12c9e4,3f88d7da,3f78d241,3f529b39,3e7a21f8,c011429a,3ea667aa,3f08b21c,c0622ea9,bfed1ab7,be5eeb76,3f2dad67,bfa62f0a,3f3e071e,c0228962,bf8419db,402c96bc,400dec42,3f966186	3f5b19c7,bd9d1228,bfce63ed,bfa454bd,bfbea151,bf493d29,be708cd8,c0352b8b,c081e311,3f622906,3db4f9ed,3fc0dc12,3f45f191,400a674b,c04d67d7,3e411a16,4019cc69,be910de5,bf21750b,402bb22e,3f6b2f82,bd14f3ad,bf2047a6,3fabddb8,bf8d9a5d,bf36d661,3fc9fdef,c03344bc,c052ac3e,3de4c168,3f048095,3edf2601,bfca4714,4004ac5e,3fb06d3e,3eb24fa0,3fee6c1c,c03a6ddb,3fbb9ca6,be6e9f10,c0420dd0,c0596e0f,401b4a9c,bec3b69a,c070b509,bf0c201a,c04f1211,c01ed546,bfffef74,be3e6b35,3f4cbf82,bfd7f038,bf8fdcaa,3f694f27,bee16155,c0551f74,40205901,bea5048d,3f295f58,c04ba0b2,3f1608dd,3f1793f1,bfc517f6,3fe62da0	40a1418a
40322887,c08656ef,bf7e1c02,bfd6aa5d,bf1869b2,c01c3642,40136ef5,c00fef43,3ccf8a9a,3ea4c898,c04ed55e,3ea001ac,bfafb66b,c07a3ba7,bef6e9c0,bf76a9ff,be9debac,be79fc5b,403b9462,401db870,3f521b3b,3f3fd372,befb2107,3f40a7ea,3faef087,c02df68f,409b0428,3fdae332,3fc876f6,3f4b93a5,3f909a59,bfaf01de,3dc4fc85,3fa5aae4,4015829f,c06e7557,3edb36b8,bf0ec5a2,3eec1143,c099ddff,bf924131,3f5f45e0,3fdc8174,3fed582a,3fbb9cc7,bf532240,bfeb3e61,3ed4902c,bf19152f,be950973,400cf4eb,bf96c65e,3f44273e,3ea92987,bfef1efa,4011e3a7,c021942f,400d7813,405328c8,bf7d9e38,3f185403,bf39b864,3e8e3513,3e80e38b	3fe1c9d8,3f06214e,c00a9829,bf4fc7b5,3f6a81b3,bfbff97e,3f60775d,bf0e0f62,bf28181a,c008a7f7,c08b589a,3fceb3e7,40278273,bfd8f9a1,40903a17,3f996a57,bf7e781d,bf8ad25f,3f5d97c4,c0002713,bf862fb8,bfb723cc,bf698b52,4028fed3,408cb184,3f1d9edb,be032305,3e4c61a7,bfd556a3,bfc874da,3f44d378,3e9b2996,3fab4bcf,be8ab666,4024fb12,bf4948d2,c0554c14,c00d28a6,bf7e81c9,bf9dc91d,3e8a5a8d,3fd680ae,be24e0d5,bfafb225,3f86fc52,3da8e9c2,3ed37d63,bf8c737c,3dfff8e3,402e0c2c,3f2dfe9a,be62d907,bf330990,bee1821a,bf896d6f,3e922def,c0b14948,c00c2d28,3f117e00,bf484011,bf5387b8,bf31ab09,3fda9db6,3f07d344	42559250
c000fcd5,be8836b6,c00b1dd0,40270378,3fcd0e09,3fd5c809,4055a6fd,3fef4edc,bf441750,bbdd072a,3f2079c2,3f9807a7,3ff94ee0,3f5ed881,c029bfca,c0aac32d,bee4d32b,3e034a2c,403263b5,3ee98606,bf54e28b,3fab0890,bf3eff38,bff0cc2e,406093ca,3f8d5c0c,40263b0a,3f11b2ab,bd8b821b,bff95183,3f9d393d,bf9bfba4,c008aa6a,3fed9939,4026d043,c041c06a,be59914b,403a5f6f,bf4bd9a4,bff8a450,c05df8c1,3fc3187e,bf8ad546,bf98d586,bf6fb142,c081ec20,3c79ff44,bfca3772,3f85d5b6,c0207af5,bfc87804,bfdac043,3f5c991f,4081ce3c,3f953875,3fb116cf,3f9cdf27,be352854,401b98c3,bddca6a5,400dcc85,bf80e96f,4090e74f,c021304e	3f4fad46,3f2f13e7,405422be,3fa8f9d4,be66e1a0,bf4eb7e6,3dbb7a9e,3e67c52c,400d94e7,c011ba9a,3ee2908e,bf92a264,bfa1ceed,c0365d24,beb43a8b,bf7e8601,3ec42006,3fdcec5e,3fe64f98,bf4e1cc0,bf3a3ff6,40334b92,bfaa1254,408126ba,c00b1ec9,bfa42619,bfb68537,bf58d032,bf795c63,3fdb9aaf,3f70618f,3e8e5591,3f29b49d,3f8e1507,c04c08a7,3f1e89ae,401bc9a5,c02822dc,3ec1024e,bf2805f8,3fc17f78,c006f3c6,3f5b4a0f,3f9f64e3,40758fe4,bf616e64,3fc42721,c03754df,3f4fb4cd,bf8e985a,c024d5d6,3fcdf09a,40346bb8,405a9657,3a2d03fb,3e619061,3dd001a2,3f893b22,bf9f9ed9,c001a656,3e3658fa,bf991a60,bf1deaff,c0819f3d	c1859692
c0babe3b,3eda9d5a,3f87218a,407c0480,c09b4c37,c02c0fcd,40309a0f,3fb28763,bf40b439,bfd5a8f8,3fefbf80,3f891138,bec5842b,be675498,3fa62edb,c00f76aa,3fa7c57b,3ff411f0,c009c098,3ffa5b0f,c01e9791,be85bc3c,c03df923,bfe2ef83,c0132f87,3ff084b5,be282051,bfc93219,c001e30a,3dad5f38,bfd82a4e,3fc3b6f5,bedd9b52,bfc11194,bfd7d74d,3fac06ad,3f42dae1,400b6823,3f25386e,be0ef49a,401b8813,bf10220b,bffa623a,3e849b39,3f778ad0,c034cd98,c0692bfa,40295efc,3e900f2d,bf053713,be74fbb3,bfbfcca2,bfb3c0fc,bec0ac29,40a559e1,bf78a671,4012d3e7,40655687,4044f2d2,3f100e54,409de468,c08c3ae9,bff20182,bf285bd6	3fd0bc0a,3e967331,407be369,40220e18,3fa12629,bfabf051,3f7fd213,3f172c04,3ebfbaa1,3f1e49ca,bf81c035,beddf033,be829b21,3fde0e6d,400f2cbc,bfcc4721,c021c873,3f0c50ba,c0467688,40194e05,4044f74d,40052985,3edef2e2,40ddaa0c,bff3b192,bd858f12,4006278d,bfd94df4,401d3fdb,be90401b,bf005ced,3f038b2f,c084177f,3f936840,3f8af93e,bf0dc2ff,c027ec9b,402d37c6,3e055b25,3f9c9cdf,bf736ae5,3f153032,3f9cb0eb,3faef8df,3f985245,bef076c8,4028bb47,bd9fc2b4,3f8a98e8,bf640e43,40236b51,c005784d,c006c33a,3f8fb0e8,406aa114,404dedb5,3fc8e1f4,3d989941,be8071c3,40102b15,bff239c1,bfd0ffa9,3e95f14a,3dfa9f9e	41355713
3e953a49,4045bfff,3f80f96f,c031af4d,3feccb83,3f276618,c05eb0c0,40415531,3f53db81,bf879977,bff01531,bfaf716a,bf651cbf,bfa600d6,be7a602f,bedab784,3f2f7a88,3fde4ea5,be882a71,c09d68d2,bf98c007,bf5ed4d5,3e379140,bf53dbf7,bfa93c2c,3ea161c2,bf7b6f76,3ee16d36,4011bf03,bf380a69,bf663373,4036b9f7,3f6a0a44,c0412146,3e489cdc,3fced2d2,3fa85799,bf9af8bf,c0305b1b,3f81d9d6,3efac5f7,3f4bf406,4079ca35,4024f44e,3faffb61,3febeff1,bf8d8525,3f0845a8,be8e0159,3e3d9c81,3e8cfade,c05495c1,4075dcb0,4023fe6f,be415be8,3ef92513,40361fac,c0af4c75,40426ebb,bed464f4,3ec0f2b1,3fd60941,bf9d9118,bfc52243	405c81e6,4005ed15,3f45e553,400bac75,c00373c0,3e9b7c4f,bfef77bd,c08bec9b,3fadb68c,bfb49927,bfa8471c,3fc32740,be9f995d,bf49465c,3f9d2ae5,c03c1b27,402466a4,40676ed4,3f0aa5b5,3fe83777,3dfc34ce,3f9c8cd6,c01f1dfd,bd27fde8,3e3e3e01,3fa601e4,c00d87a0,bfd7a33e,40214e69,bfb03234,bfb2eacc,3e0df914,401b139c,3d6b06b0,befe80d8,3f5d7347,bb9ac9b8,3f9379c2,3fc12bba,bf093ddf,40bf8339,c0a23cdd,403b7a48,3fa6b168,3e884f55,bf2bfbb8,3efe086a,3f8b4c67,bf83ab2e,400b9a47,3fd4eb25,bff61236,bf840fbf,3fbbdb13,3f740cfa,3e4defb5,bf6f694b,3eddfe6b,be663ff6,bfea3612,c0310125,bf4e71a7,bfe77bf9,c0a9ccfb	41c6b19a
